"","species","lambda","lower_error","upper error","sigma","convergence_code"
"1",1,2,0.04,3.96,1,19.5939685019978
"2",1,2,0.04,3.96,1,19.6053180293883
"3",2,1.5,0.114070708874367,2.88592929112563,0.707106781186548,18.2367637021208
"4",2,1.5,0.114070708874367,2.88592929112563,0.707106781186548,22.5206037873621
"5",4,3,-1.2340839229598,7.2340839229598,2.16024689946929,34.0624270783402
"6",4,3,-1.2340839229598,7.2340839229598,2.16024689946929,25.6212232989549
"7",5,2.14285714285714,-0.726289071611545,5.01200335732583,1.4638501094228,28.7312639505976
"8",5,2.14285714285714,-0.726289071611545,5.01200335732583,1.4638501094228,28.0038756185286
