"","species","lambda","lower_error","upper error","sigma","convergence_code"
"1",1,1,0.9804,1.0196,0.01,1.8852190459124
"2",1,1,0.9804,1.0196,0.01,7.69697566087962
"3",2,1,0.9804,1.0196,0.01,11.679220094967
"4",2,1,0.9804,1.0196,0.01,16.0407258002169
"5",4,2.83333333333333,0.228179467116087,5.43848719955058,1.32916013582513,30.4274303105278
"6",4,2.83333333333333,0.228179467116087,5.43848719955058,1.32916013582513,28.4142730905926
"7",5,2.4,-1.42074338316511,6.22074338316511,1.94935886896179,22.8113469274567
"8",5,2.4,-1.42074338316511,6.22074338316511,1.94935886896179,26.2543533284812
