"","Tu_Regime","Te_Regime","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter","ND","FD","Feasibility","ND_L","FD_L","Feasibility_L","ND_U","FD_U","Feasibility_U","a21_a11","a22_a12","a21_a11_upper","a22_a12_upper","a21_a11_lower","a22_a12_lower","Tu_lambda_lower","Te_lambda_lower","Tu_lambda_upper","Te_lambda_upper"
"V1","SR1","SR4","N",2.48240769688261,5.53876790793641,0.0290244542674911,0.0193573523332043,0.039793616892848,0.0847377388460943,-0.299562817962167,8.67110631518811,1,-0.0456644117980544,15.6473817869518,1,-0.462973620129871,6.28323367032662,1,2.91952910001843,0.486443652139682,3.7510514234173,-0.104129928014554,2.5766711704563,0.775553957102689,2.31783147432756,4.92532582284893,2.64698391943767,6.15220999302389
"V2","SR2","SR4","N",2.54780515352816,5.53876790793641,0.0266043540323651,0.0193573523332043,0.0419616526093333,0.0511968749831425,-0.377014214146168,10.8224499238108,0,-0.103094290776571,17.7850663707351,0,-0.547269278834743,8.2441901943436,0,1.92437955534872,0.461310533057956,2.16605223161283,-0.100929582851985,1.8473144663746,0.727788830124073,2.36302684526921,4.92532582284893,2.73258346178711,6.15220999302389
"V3","SR1","SR5","N",2.48240769688261,4.42860143184107,0.0290244542674911,0.00763504788354649,0.0301262188011041,0.0716596821113018,-0.224032619660774,9.82085838490582,1,0.0788902529898116,21.5386884154681,1,-0.44054903253243,5.52086430680761,1,2.46894158459904,0.253435319379234,3.00857994985255,-0.734937889648692,2.24643487922661,0.658578274223712,2.31783147432756,3.92836648234932,2.64698391943767,4.92883638133282
"V4","SR2","SR5","N",2.54780515352816,4.42860143184107,0.0266043540323651,0.00763504788354649,0.0133864600677877,0.0612384685409036,-0.388164857695275,5.98980485978382,1,0.273720518263752,36.4034955129296,1,-0.66554631562527,2.81703732786,1,2.30182129084604,0.57035600486487,3.04075591566859,7.87825987695824,2.06618827064572,0.990751118310622,2.36302684526921,3.92836648234932,2.73258346178711,4.92883638133282
"V5","SR1","SR4","Cd",1.22077189654282,1.79595170675147,0.00967807625305012,0.00998495682755218,0.0111137825444355,-0.00758586665268091,-0.0510031212033927,26.9354757148054,0,-0.0780338555634579,48.19332188075,0,-0.52579679467364,10.0362988803193,0,-0.783819682169808,0.898430105828502,-4.78305214576075,-0.0522812799637757,0.410384217510616,1.15572164123745,1.17986050183029,1.69350516090929,1.26168329125534,1.89839825259365
"V6","SR2","SR4","Cd",1.40291333822508,1.79595170675147,0.0126391595607329,0.00998495682755218,0.0145305898717378,-0.00354112814088676,-0.253998022789912,21.2912905546252,0,-0.0991600813838337,45.2366699550194,0,-0.892796930384974,8.66297463171344,0,-0.280171171498481,0.687168030733086,-3.55346893486578,-0.0463657249634897,0.55245911822482,0.852231232468238,1.33872751947371,1.69350516090929,1.46709915697646,1.89839825259365
"V7","SR1","SR5","Cd",1.22077189654282,2.1636253357724,0.00967807625305012,0.0333440318423983,-0.000884427437023958,0.038413485752881,-0.759438496283986,11.5609697241663,0,-0.482701132442351,17.2026258691661,0,-1.03088007950126,8.68964594757479,0,3.96912410571002,-37.7012634915521,5.76774684888789,-2.78050310135336,3.43204047441036,7.24156066954714,1.17986050183029,2.02454109737487,1.26168329125534,2.30270957416993
"V8","SR2","SR5","Cd",1.40291333822508,2.1636253357724,0.0126391595607329,0.0333440318423983,0.00776450741464556,-0.00755197079606586,0.0781757154118494,17.0118601278738,1,0.287047129890346,23.3012540585367,1,-0.260593974419083,7.10644800269395,1,-0.597505772419252,4.29441689752323,-4.23382152085197,-7.50843213615341,0.327465572695494,2.41694793641288,1.33872751947371,2.02454109737487,1.46709915697646,2.30270957416993
