"","SRTe","SRTu","Env","obs_TeRatio","SE_obs","pred_T1","T1_L","T1_U","meanTe","meanTu","predTu2","predTe2"
"1","SR4","SR1","Cd",0.979830376946949,0.00564856058266173,0.68730083892785,0.707522914065189,0.667223906249781,1996.8,44.3,6.63965813842989,14.5937155478458
"2","SR4","SR1","N",0.816412086041541,0.0212897483889437,0.663698397591584,0.678112929624495,0.651570362266264,2459.8,544.3,5.92813604293728,11.6993031380927
"3","SR4","SR2","Cd",0.937080083827329,0.0144432368313347,0.643896697469132,0.658814926063232,0.629315197824362,1603.25,99,7.78609675565474,14.0786169392704
"4","SR4","SR2","N",0.834330157033556,0.0254195177745106,0.647835526233127,0.661166051539648,0.63731513215819,3021.5,405.25,7.19162169075667,13.229579839973
"5","SR5","SR1","Cd",0.975937069763324,0.00665024970957174,0.529131537945311,0.540929757937824,0.51777486536331,2881,54.9,8.0112977481633,9.00257851189684
"6","SR5","SR1","N",0.767436808465398,0.0584379147257596,0.541806785922656,0.546862609285887,0.538077951518993,1492.4,390.9,7.71274851294493,9.12021250869736
"7","SR5","SR2","Cd",0.951714316564029,0.0164489452109217,0.630142583117578,0.635468257416112,0.624943997870284,2569.75,97.375,8.5398299364579,14.5496892854122
"8","SR5","SR2","N",0.878490104005372,0.0183661071683866,0.337142139200601,0.319683129783043,0.354824135425571,2075.25,212,14.1256502584133,7.18457489510291
