"","SRTe","SRTu","Env","meanRatio","mean_pred","sdRatio","sdPred","meanTe","meanTu"
"1","SR4","SR1","Cd",0.979830376946949,0.694352419009904,0.00564856058266173,0.0497930054263145,1996.8,44.3
"2","SR4","SR1","N",0.816412086041541,0.631178454802156,0.0212897483889437,0.110683673495751,2459.8,544.3
"3","SR4","SR2","Cd",0.937080083827329,0.622084066371555,0.0144432368313347,0.0472765856301825,1603.25,99
"4","SR4","SR2","N",0.834330157033556,0.56227421266211,0.0254195177745106,0.033343441851162,3021.5,405.25
"5","SR5","SR1","Cd",0.975937069763324,0.513054667819802,0.00665024970957174,0.0285456913495876,2881,54.9
"6","SR5","SR1","N",0.767436808465398,0.527215648743378,0.0584379147257596,0.144424046240267,1492.4,390.9
"7","SR5","SR2","Cd",0.951714316564029,0.613759022100821,0.0164489452109217,0.0235676300234933,2569.75,97.375
"8","SR5","SR2","N",0.878490104005372,0.343658871922972,0.0183661071683866,0.0812005896479055,2075.25,212
