"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter","ND","FD","Feasibility","ND_L","FD_L","Feasibility_L","ND_U","FD_U","Feasibility_U","a21_a11","a22_a12","a21_a11_lower","a22_a12_lower","a21_a11_upper","a22_a12_upper","distanceTu","distanceTe","distanceTu_lower","distanceTu_upper","distanceTe_lower","distanceTe_upper"
"V1","SR1","SR4",1,"N",2.90650616338266,7.51885167046333,0.0693146242205671,0.0881714176599858,0.0676343513777235,0.170312097696173,-0.768264641230143,4.34184575507236,0,-0.887561658119622,2.50669131143755,1,-0.733502716217471,5.27916820206366,0,2.45708751380113,1.30364845472631,2.55518617299536,1.53792750280728,2.40070896408673,1.22446128668881,-0.0176452370092218,-0.285472779149779,0.0041678448462258,-0.0258173374846223,0.207664942201867,-0.315963720381785
"V2","SR2","SR4",1,"N",2.47390245018289,7.51885167046333,0.0206641089260091,0.0881714176599858,0.0481391069873673,0.120140186895859,-0.678380503472873,0.491877524959626,1,-0.596513835687558,2.94711384390542,1,-0.736033289366682,2.26105110559908,1,5.81395439435781,1.83159645406642,27.4077724947893,2.15640986451763,4.12592083384328,1.72151226954299,0.14753621931078,0.181875748619208,0.281399706369517,0.0800847041913287,0.116346495627267,0.208375952365474
"V3","SR1","SR5",1,"N",2.90650616338266,6.85003137287897,0.0693146242205671,0.0814791796952877,0.0727268646988663,0.105394756237048,-1.02893329831707,7.27489001850639,0,-1.22647631273707,8.86681324629765,0,-0.962551202202433,6.67637767457834,0,1.52052698001608,1.12034500638329,1.22787539360881,1.01751322945467,1.68871757659283,1.17320887948368,-0.180463692907807,-0.327419441265823,-0.282186637743259,-0.133356521871431,-0.375435504867918,-0.304582113241275
"V4","SR2","SR5",1,"N",2.47390245018289,6.85003137287897,0.0206641089260091,0.0814791796952877,0.0672743950822964,0.153149733187676,-0.450984732380142,1.87876081699555,1,-0.369589859288888,0.136904403906536,1,-0.500363364743342,3.07506681450458,1,7.41138820628808,1.21114696900083,35.7241609617767,1.190409065178,5.19812002091184,1.22062784056714,0.212457511581183,0.343619760037308,0.318590073503909,0.15651966798696,0.352112569492262,0.339794316425297
"V5","SR1","SR4",2,"N",2.84539911606419,7.74726292632728,0.0605193373562654,0.0351069000968981,0.0498209025460194,0.129470319128762,-0.480377186500054,9.88698116489715,0,-0.0310206968927332,20.5629864771502,1,-0.685215425076407,8.77431215849029,0,2.1393214926759,0.704662065575187,2.3953128236769,-0.295366471846177,2.01606514588512,1.00135049030001,-0.0852767477500162,-0.60496474989046,0.0435020869805651,-0.108471548314847,1.63557943558747,-0.43273981636255
"V6","SR1","SR5",2,"N",2.84539911606419,7.32770866929863,0.0605193373562654,0.09667963405735,0.0235591871128147,0.137091350247538,-0.948886447234146,1.23219429129469,1,-0.533996324190429,7.67893668652326,0,-1.58395152227697,2.22550048803989,0,2.26524869960998,4.10369142171134,2.65225595336439,-10.0912908099068,2.07890996660377,2.31721377910999,0.0453376705341936,0.131361060163678,-0.00982978016697928,-0.0779641402101717,-0.469158449256532,-0.0370222061253899
"V7","SR1","SR4",3,"N",3.9943408264178,13.8464137264515,0.114501196617207,0.109320647021602,0.111209749404217,0.163937460868145,-0.930634659046283,12.0599799427074,0,-1.03945391449871,13.3117108184482,0,-0.868640171892791,11.3445569898123,0,1.43175325421454,0.983013158533892,1.21225075760264,0.908716753080578,1.59913933253123,1.02839511177212,-0.3288312272603,-0.513114203638586,-0.408897657199188,-0.277991242298512,-0.552336232358749,-0.490550343563552
"V8","SR2","SR4",3,"N",3.81729022209341,13.8464137264515,0.0500697127693986,0.109320647021602,0.0562057739283857,0.0963469188560028,-2.55508877335613,5.96091142093652,0,-0.922385620330015,3.26416174537432,0,-1.28215847558905,7.34273722969388,0,1.92425547355821,1.94500741437868,1.88579907094092,3.23548076116334,1.937628339035,1.60046655478237,-0.210262828635735,-0.205887294224568,-0.218570782517463,-0.207434690193091,-0.0307540604115577,-0.289462553955423
"V9","SR1","SR5",3,"N",3.9943408264178,8.12652836799599,0.114501196617207,0.126163692387968,0.10640758053798,0.0829147161269753,-0.80980290681801,10.4712196055037,0,-0.566693238666333,13.9500365898075,0,-1.06013341000127,8.50383859762959,0,0.724138424545644,1.18566451516052,0.411467333717413,1.06394347111998,0.962572102998405,1.26820795538546,-0.487213507794691,-0.243815527466994,-0.723603977670943,-0.347627097060774,-0.297587263510555,-0.210858476389628
"V10","SR2","SR5",3,"N",3.81729022209341,8.12652836799599,0.0500697127693986,0.126163692387968,0.0424734109736096,0.0769482160913019,-0.794500152899756,0.333969271736548,1,-0.4617458911551,2.12694325070528,1,-1.12235628337244,1.93865223909296,0,1.53682160002984,2.9704158318332,1.30928059870703,9.07140663182622,1.615946921018,2.14839223229505,0.137721333561306,0.114405879992139,0.213119673390135,-0.115010414930203,0.329348153588022,-0.00350193063695105
"V11","SR1","SR4",4,"N",2.37966893153329,6.8600338210542,0.039503090681441,0.0917612744711665,0.0733353025608286,0.110195472124407,-0.677553526453065,5.02284930590089,0,-0.641448257544138,4.1757203660765,1,-0.695282090913399,5.54791042492547,0,2.78954052008336,1.25125650630615,3.04731861827074,1.24745433964861,2.68382498518412,1.25317068798492,-0.0103106030217781,-0.340350429856141,0.0168155110653604,-0.0227666616729901,0.341835136639555,-0.339605043167345
"V12","SR2","SR4",4,"N",2.25695228024474,6.8600338210542,0.0350785605624879,0.0917612744711665,0.0363026882381824,0.0807640851307543,-1.67729010706205,2.15982315437702,0,-0.784292520104511,2.98136896737392,1,-1.34147438446228,4.45418057529046,0,2.3023774019143,2.52767161123495,2.67604880412783,10.0176568025201,2.20039078941312,1.83871062259903,-0.0919040541968567,-0.058880047021897,0.0397718765008404,-0.108714937659254,0.218351511569555,-0.18027084492606
"V13","SR1","SR5",4,"N",2.37966893153329,6.88641235909188,0.039503090681441,0.0945261976789098,0.081642282083533,0.124648352688379,-0.58813874100616,5.06880523200067,1,-0.458237068851567,5.31973661601829,1,-0.679257120823012,4.98926815564232,0,3.15540760325724,1.15780935155872,3.76296979486137,0.958446674192672,2.90624461182538,1.28810032928,0.0258107802178793,0.379680141980794,0.0729698376990828,-0.00131680799761795,0.47389853605619,-0.32743091708071
"V14","SR2","SR5",4,"N",2.25695228024474,6.88641235909188,0.0350785605624879,0.0945261976789098,0.0329494149241997,0.113205675868764,-1.65303223914437,0.0353986567778081,1,-1.11425350495402,5.76468316639694,0,-1.22155848943836,2.7889766693726,0,3.22720413989345,2.86882780457158,5.2351240835538,14.6833111403409,2.67917998815363,2.06201697662368,0.016224892622074,0.0186961850679294,-0.12796431641627,-0.040526184497754,-0.248708542460231,-0.134836975546446
"V15","SR1","SR4",5,"N",3.32888321569602,6.86286878709732,0.0164813726288893,0.0883705788533735,0.0654851680671675,0.13720801321551,-0.481632428378551,2.09075430375039,1,-0.401965878039208,6.63827909136887,1,-0.546898630912869,0.379476490138318,1,8.32503556014537,1.34947472017988,-11.6773752780227,1.67930077866764,4.13275315938162,1.22832496670306,0.332075150836597,0.186112965033852,2.60454340618951,0.214215651716277,0.0854717419525179,0.231667688753996
