"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter","ND","FD","Feasibility","ND_L","FD_L","Feasibility_L","ND_U","FD_U","Feasibility_U","a21_a11","a22_a12","a21_a11_lower","a22_a12_lower","a21_a11_upper","a22_a12_upper","distanceTu","distanceTe","distanceTu_lower","distanceTu_upper","distanceTe_lower","distanceTe_upper"
"V1","SR1","SR4",1,"N",2.91108875463798,4.14227889358751,0.0685890215945646,-0.0961245454420858,0.0680465621200521,0.145543243346481,0.123025794928463,24.935224040274,1,0.191897660306841,26.6538854773776,1,0.0110025437270481,20.176466581179,1,2.1219612113262,-1.4126289770892,2.01274380044884,-4.14098914863651,2.18053029282204,-0.508329967965129,0.172191573869478,1.22859404281942,0.151473963447538,0.18259977703924,0.849537393667096,1.7130927158814
"V2","SR2","SR4",1,"N",2.47635246836682,4.14227889358751,0.0217948210900936,-0.0961245454420858,0.0483430478497499,0.0953226188621155,0.193193685217764,26.1090341147452,1,0.267211701195587,24.0007407806184,1,0.0855520267802968,22.2822180889507,1,4.37363621697461,-1.98838405350115,15.6832131292632,-5.76759730978862,3.46826092249448,-0.718037379820592,0.314038836963065,1.00479937735542,0.475141496146005,0.258102429479846,0.710493464884335,1.48688477368641
"V3","SR1","SR5",1,"N",2.91108875463798,6.83648105704785,0.0685890215945646,0.0799841064475968,0.0728510623121995,0.104629508880496,-0.996092498793138,7.36103381134085,0,-1.04191455692677,9.513940478171,0,-0.97778439765429,6.64714769804364,0,1.52545562610544,1.09791269899166,1.21373936135842,0.911299411559092,1.69261702616872,1.18977022033229,-0.177698897296095,-0.336198208138006,-0.286582927533904,-0.131065831113226,-0.429211100852267,-0.296389669297514
"V4","SR2","SR5",1,"N",2.47635246836682,6.83648105704785,0.0217948210900936,0.0799841064475968,0.0676470980227685,0.15424492603082,-0.446650502928575,2.11058128448007,1,-0.32853172700834,0.710078528724408,1,-0.514527608372616,3.05409799083646,1,7.07713660016824,1.18237306234003,32.0656039454291,1.03462743235657,5.07671331671713,1.24965376379926,0.207154149800229,0.354500519980818,0.316348995346475,0.153037005082676,0.420855797420779,0.327351125865873
"V5","SR1","SR4",2,"N",2.84055272130546,7.73455306373745,0.0601896202827699,0.0348290980675009,0.0495737755892348,0.129155945703387,-0.478242599482576,9.89095302889186,0,-0.0220917624712783,20.6742561260365,1,-0.688272452489509,8.86096130530525,0,2.14581758609897,0.702571019728104,2.47769524395458,-0.315594375453507,1.99329581228289,0.99682978093044,-0.0841350971690089,-0.606383688888068,0.0316434907688861,-0.113028810794426,1.61705811232991,-0.435022547860791
"V6","SR1","SR5",2,"N",2.84055272130546,7.33572411227183,0.0601896202827699,0.0969641902026444,0.0237179763969459,0.137661570282871,-0.959865366484828,1.2434169777459,1,-0.545219157255924,7.8544263137254,0,-1.58481320797303,2.303419015627,0,2.28713139634607,4.08821514027353,2.76774147255457,-9.87712500216246,2.06625632505972,2.30156670577042,0.0427404565825548,0.129547337529999,-0.0227316874437618,-0.0812967493994684,-0.47034265553343,-0.0404359678618239
"V7","SR1","SR4",3,"N",3.99364588983644,13.9150875833003,0.114611419489523,0.110420928480155,0.11119717326555,0.165155563304846,-0.93547677127267,11.9831807714593,0,-1.00408021143744,13.6996544917511,0,-0.889502502194205,11.0794873558541,0,1.44100443080145,0.993019203972557,1.18130535351444,0.864259821791071,1.63452239069878,1.06990229851989,-0.327172044739224,-0.509411792555334,-0.422981978734772,-0.269561486138735,-0.578592753707806,-0.472151192440872
"V8","SR2","SR4",3,"N",3.8215781072012,13.9150875833003,0.0502583892030162,0.110420928480155,0.0566221946552034,0.0975574744096942,-2.92098631089711,5.9226058771834,0,-0.82340855586776,4.16429271767631,0,-1.25200446059716,6.97188239928498,0,1.94111820845702,1.95013508664853,1.63898790090765,3.10102335935245,2.03958489345016,1.65404282853645,-0.207680059954599,-0.20579583146467,-0.279809292554438,-0.187826813070232,-0.0439183198800195,-0.275752428422396
"V9","SR1","SR5",3,"N",3.99364588983644,8.53524597449042,0.114611419489523,0.123948400618819,0.106497004947339,0.102534345907046,-1.07836871001817,9.67571011838394,0,-0.755935142541502,12.9937629323852,0,-1.48116178409987,7.92085368297417,0,0.894625913924912,1.16386747852777,0.564411503023971,1.00799633246645,1.14068924150317,1.26769161740569,-0.403318411941306,-0.272173584196014,-0.619316123008912,-0.282131205911117,-0.34377607198751,-0.230256207916613
"V10","SR2","SR5",3,"N",3.8215781072012,8.53524597449042,0.0502583892030162,0.123948400618819,0.0427106345598712,0.0805638425952074,-0.842169059191164,0.682596946229147,1,-0.491105407184063,2.20243483460867,1,-1.18565186338429,2.36373735367547,0,1.60299293058864,2.90205008415573,1.40877122098589,9.03013884380406,1.66629133998492,2.13476255703079,0.136786123971265,0.0891318672682492,0.19632487653878,-0.119545257822065,0.310682723960065,-0.0171056248812492
