"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter","ND","FD","Feasibility","ND_L","FD_L","Feasibility_L","ND_U","FD_U","Feasibility_U","a21_a11","a22_a12","a21_a11_lower","a22_a12_lower","a21_a11_upper","a22_a12_upper"
"1","SR1","SR4",1,"N",2.51581648677062,4.89553986724976,0.0507844168620423,0.0186087063123344,0.0398110836377467,0.102128842782115,-0.368689502948175,9.24735827290884,1,-0.617839762607376,5.35089960405593,1,0.194203127553674,34.0630674967584,1,2.01102718299497,0.467425264824759,2.14938229622493,-3.92295742916358,1.95822836338193,0.877007533582347
"2","SR2","SR4",1,"N",1.90227195333899,4.89553986724976,-0.0163391397564707,0.0186087063123344,0.013557848091752,0.0463477158237257,-0.209985167198327,6.45315647657053,1,-0.528223691120786,2.41309871000026,1,-0.057227295055229,71.2013104908013,0,-2.8366068541259,1.37254129021073,-0.14546575936575,2.84159345228022,18.6228492076024,1.75010297701823
"3","SR1","SR5",1,"N",2.51581648677062,5.16215734782061,0.0507844168620423,0.0419432556803037,0.0443208973824687,0.0591115073497692,-1.18251022101317,8.82009030964335,0,-1.22985364446469,6.14805152708636,0,-0.673596760066973,22.2057045409953,0,1.16396940247139,0.946353935895137,0.557677651096443,0.177487425450497,1.39534132698067,1.15323398742614
"4","SR2","SR5",1,"N",1.90227195333899,5.16215734782061,-0.0163391397564707,0.0419432556803037,0.0323463025639599,0.104583598529966,-0.286615073899344,2.92461462927052,1,-0.428530285023481,0.860454786347346,1,0.0506002514952465,2.11497657505595,1,-6.40080200602655,1.29669397599207,-1.45166257050421,0.433573598086472,33.0641819989923,1.41319462543806
"5","SR1","SR4",2,"N",2.02627689449503,5.12169654526477,0.00421692677707043,-0.0236171994377859,0.002063226532087,0.220402795706177,0.286084923791273,33.2333135796986,1,-0.309645197971991,2.37224920729982,1,0.169255918030173,58.1281707306145,0,52.266213609546,-11.4467311613605,-1.86301170841207,2.92363022293702,13.3886955984188,0.88822852299259
"7","SR1","SR5",2,"N",2.02627689449503,3.59482532636113,0.00421692677707043,-0.00482157058906436,-0.0250085067393466,0.314778722018161,0.0529934042071334,39.7404792483722,0,-1.10458487074598,11.1719829285043,0,0.118064018578853,48.4787470605906,0,74.6464756584753,0.192797220534501,-6.69806267154714,0.742848730564517,16.2219603350853,5.34272864779482
"9","SR1","SR4",3,"N",3.2466484937126,8.08839892821532,0.0776862015311896,0.0111333473905992,0.0705257163929496,0.0663146084594036,-0.455739354648323,21.7009450875165,0,-0.708570391405786,14.4463666100063,0,-0.171090212437932,39.2522394232657,0,0.853621455964474,0.157862237493162,0.36343002638379,-0.860811537026301,1.11218018279611,0.5874879302064
"10","SR2","SR4",3,"N",3.5122334618198,8.08839892821532,0.034932865464601,0.0111333473905992,0.0403065217457757,0.0349093589936105,-0.483837053091218,18.1585665104524,0,-0.780252688976267,10.4020319365697,0,-1.59659639850527,72.4206047627768,0,0.999327095825724,0.276217021672579,-4.39227086543845,-5.37062913030902,1.33613210517633,0.788623989257009
"11","SR1","SR5",3,"N",3.2466484937126,4.87522279176005,0.0776862015311896,0.0501269296471898,0.0658442231892095,0.0280780259369684,-0.713429938079548,13.8809152487846,0,-0.958806445305285,7.60343892925205,0,-0.498224070365284,30.4162746711326,0,0.361428740027862,0.761295786012168,-0.340090663233238,0.172629866212565,0.731455535294432,1.03840161725181
"12","SR2","SR5",3,"N",3.5122334618198,4.87522279176005,0.034932865464601,0.0501269296471898,0.0251737814571326,-0.0295939321904074,0.0611352554468496,21.3490278697891,1,-0.319345865920814,8.82425122903451,1,0.184207086504457,75.0287504993823,0,-0.847165893688173,1.99123559297394,-18.7012243788461,-0.98220632638825,0.268150266426623,1.60984630046461
"13","SR1","SR4",4,"N",2.10741793472065,5.40839693232533,0.0255406256602432,0.05046595664861,0.0520304676439151,0.0695537719932085,-0.544124993102832,5.86516685866073,1,-0.681855812451842,4.90508865795627,0,-0.201067499209672,9.8621850184462,1,2.72326030373941,0.969930868082673,4.44107181247585,0.377141616948714,2.50815506549006,1.17248011433312
"14","SR2","SR4",4,"N",2.58226379661935,5.40839693232533,0.0610227132961774,0.05046595664861,0.0466656295717427,0.0399120717519209,-0.806449222871745,12.1319752913248,0,-1.24996004402371,8.69646947979716,0,-0.377170092409729,25.6676862714822,0,0.654052722274168,1.08143739003938,-0.100509337971361,0.625452664270779,0.984549434744148,1.17563918680127
"15","SR1","SR5",4,"N",2.10741793472065,5.38733490580375,0.0255406256602432,0.0546756878550704,0.0610051498408296,0.0816885141464967,-0.466122076278909,5.6913063304021,1,-0.672757588504317,4.29642394801635,1,-0.139332189730403,9.56194740480081,1,3.19837560885025,0.8962470872988,7.26382169318167,0.303096535974267,2.68929836486134,1.21235407845019
"16","SR2","SR5",4,"N",2.58226379661935,5.38733490580375,0.0610227132961774,0.0546756878550704,0.043010799585959,0.0710006395655463,-1.55847860124594,6.91241726997862,0,-1.96336261784597,5.95933611264961,0,-1.60030726987268,10.6441202875814,0,1.16351167836377,1.27120835653842,0.899545512171265,0.973542090492531,1.27912834493926,1.32519357540073
