"","Tu_Regime","Te_Regime","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter","ND","FD","Feasibility","ND_L","FD_L","Feasibility_L","ND_U","FD_U","Feasibility_U","a21_a11","a22_a12","a21_a11_lower","a22_a12_lower","a21_a11_upper","a22_a12_upper","Tu_lambda_lower","Te_lambda_lower","Tu_lambda_upper","Te_lambda_upper","min_a21_a11","min_a22_a12","max_a21_a11","max_a22_a12","distanceTu","distanceTe","distanceTu_lower","distanceTu_upper","distanceTe_lower","distanceTe_upper"
"V1","SR1","SR4","N",3.0530497298963,8.17754786456509,0.0598940832312097,0.0794727450572991,0.0735044172845612,0.142665083331391,-0.653386649845742,6.14844513791898,0,-0.620519846316281,5.85746048608426,0,-0.678793573986043,6.40440505527511,0,2.38195620727109,1.08119685854569,2.49355562623803,1.05687452063352,2.30317738190231,1.09799858202461,2.88249320215058,7.54085471987003,3.22360625764203,8.81424100926015,2.30317738190231,1.05687452063352,2.49355562623803,1.09799858202461,-0.0401582651085401,-0.389084181031153,-0.0240779780895157,-0.0523035210574809,-0.400435006399648,-0.381402324334201
"V2","SR2","SR4","N",2.77909267954993,8.17754786456509,0.0384434024238385,0.0794727450572991,0.0585972993988387,0.109942316078647,-0.720506308216997,4.53384489051962,0,-0.69868562892857,3.51209489970152,1,-0.736210449889611,5.2448879442777,0,2.85984874248468,1.35625269206304,3.23727351293283,1.41875661409555,2.64993128333828,1.31765414418259,2.61829140924834,7.54085471987003,2.93989394985152,8.81424100926015,2.64993128333828,1.31765414418259,3.23727351293283,1.41875661409555,-0.00878087565012148,-0.30774120880705,0.0279953439055382,-0.0332464531047871,0.286369699856764,-0.321589462716986
"V3","SR1","SR5","N",3.0530497298963,7.05185690957634,0.0598940832312097,0.0940761069998046,0.0636900292358831,0.12659563544533,-1.01080954710447,3.14949402797337,0,-1.04287312389043,2.40540207621216,0,-0.989716861517076,3.71790315164055,0,2.11365845532073,1.4770931671484,2.19712692630827,1.56208534098277,2.05473746665795,1.41932980288132,2.88249320215058,6.55457718144939,3.22360625764203,7.54913663770328,2.05473746665795,1.41932980288132,2.19712692630827,1.56208534098277,-0.033328985713038,-0.186547176527099,-0.0185411148974402,-0.0443562091095721,-0.16085482904077,-0.205199524157213
"V4","SR2","SR5","N",2.77909267954993,7.05185690957634,0.0384434024238385,0.0940761069998046,0.0302595553368648,0.121449810511819,-2.52960825598798,1.90582004637786,0,-1.41794878860775,4.28568818264234,0,-1.50077238037111,0.195587575469817,1,3.15918474574219,3.10897189177109,3.75239615598982,4.92201439918602,2.82925030124887,2.43740681364118,2.61829140924834,6.55457718144939,2.93989394985152,7.54913663770328,2.82925030124887,2.43740681364118,3.75239615598982,4.92201439918602,-0.0688456355473525,-0.0642057034918653,-0.114961023280077,0.0356589599227328,-0.17496376406901,0.0139257180046067
"V5","SR1","SR4","Cd",1.22531168245303,2.00121973694614,0.00802050249029201,0.0252259685033614,0.0129874852081819,0.00859466635783815,-0.756153304356137,1.82637981633478,1,0.140531782954791,25.7391589409288,1,-2.68686099180371,0.446990177194853,0,1.07158701942193,1.94232894967761,-1.46394714453057,2.56793753180836,1.71777541823142,1.73060926606223,1.18987119627896,1.90479152002152,1.26075216862711,2.09764795387076,1.46394714453057,1.73060926606223,1.71777541823142,2.56793753180836,0.201453518401234,0.0739481536531957,1.99290784751931,-0.0222119777926089,0.178051344396761,-0.0254423970103721
"V6","SR2","SR4","Cd",1.41879183034309,2.00121973694614,0.0125086142304798,0.0252259685033614,0.0180256706144055,0.0138864160222056,-1.14377301545839,1.7224497514608,0,-0.142291682249718,12.1233622359113,1,-1.26372124256621,0.780406504595722,1,1.11014823595475,1.39944688011783,-0.0396758745576239,1.92788027095386,1.47119043681111,1.23012831582497,1.36356073144166,1.90479152002152,1.47402292924452,2.09764795387076,0.0396758745576239,1.23012831582497,1.47119043681111,1.92788027095386,-0.116529742922003,-0.00371993453058509,0.993734936896699,0.0197301654145728,0.138217541725644,0.0658550276047238
"V7","SR1","SR5","Cd",1.22531168245303,2.3070441526856,0.00802050249029201,0.0424841736000676,0.000896286850040721,0.0520842482156045,-1.07654420223948,11.4960648548703,0,-0.773320923272388,15.7508192679746,0,-1.58884448754206,8.65423022709194,0,6.49388841642367,47.4001973789278,12.3329107812881,-5.37867536670658,5.00579625572377,6.32972798481228,1.18987119627896,2.18660978555467,1.26075216862711,2.42747851981652,5.00579625572377,5.37867536670658,12.3329107812881,6.32972798481228,-0.335439896903525,-0.467136834057637,-0.407323804477119,-0.291057788340323,-0.67205124073336,-0.331541040115669
"V8","SR2","SR5","Cd",1.41879183034309,2.3070441526856,0.0125086142304798,0.0424841736000676,0.0112042474797958,0.00681822485509836,-0.285559452896104,3.24962103197188,1,0.178721537111748,18.4519950265856,1,-0.643254670718966,1.04968447257784,1,0.545082351207567,3.79179178937967,-1.06346014234166,60.8547294196422,1.05016109910684,2.34055458010684,1.36356073144166,2.18660978555467,1.47402292924452,2.42747851981652,1.05016109910684,2.34055458010684,1.06346014234166,60.8547294196422,0.520373217615227,0.293506871815364,1.83557575398562,0.20957285502239,0.534932185021605,0.147589112158264
