"","Tu_Regime","Te_Regime","Environment","Tu_distance_lower","Tu_distance","Tu_distance_upper","Te_distance_lower","Te_distance","Te_distance_upper","minDistance_L","minDistance","minDistance_U"
"V1","SR1","SR4","N",-0.0523035210574809,-0.0401582651085401,-0.0240779780895157,-0.400435006399648,-0.389084181031153,-0.381402324334201,-0.0523035210574809,-0.0401582651085401,-0.0240779780895157
"V2","SR2","SR4","N",-0.0332464531047871,-0.00878087565012148,0.0279953439055382,-0.321589462716986,-0.30774120880705,0.286369699856764,-0.0332464531047871,-0.00878087565012148,0.0279953439055382
"V3","SR1","SR5","N",-0.0443562091095721,-0.033328985713038,-0.0185411148974402,-0.205199524157213,-0.186547176527099,-0.16085482904077,-0.0443562091095721,-0.033328985713038,-0.0185411148974402
"V4","SR2","SR5","N",-0.114961023280077,-0.0688456355473525,0.0356589599227328,-0.17496376406901,-0.0642057034918653,0.0139257180046067,-0.17496376406901,-0.0642057034918653,0.0139257180046067
"V5","SR1","SR4","Cd",-0.0222119777926089,0.201453518401234,1.99290784751931,-0.0254423970103721,0.0739481536531957,0.178051344396761,-0.0254423970103721,0.0739481536531957,0.178051344396761
"V6","SR2","SR4","Cd",-0.116529742922003,0.0197301654145728,0.993734936896699,-0.00371993453058509,0.0658550276047238,0.138217541725644,-0.116529742922003,0.0197301654145728,0.993734936896699
"V7","SR1","SR5","Cd",-0.407323804477119,-0.335439896903525,-0.291057788340323,-0.67205124073336,-0.467136834057637,-0.331541040115669,-0.407323804477119,-0.335439896903525,-0.291057788340323
"V8","SR2","SR5","Cd",0.20957285502239,0.520373217615227,1.83557575398562,0.147589112158264,0.293506871815364,0.534932185021605,0.147589112158264,0.293506871815364,0.534932185021605
