"","Tu_Regime","Te_Regime","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4","N",2.65096322369176,6.17994811508999,0.0410637516818303,0.0444743532593859,0.0529610315114191,0.104897819756848
"2","SR2","SR4","N",2.73293447497694,6.17994811508999,0.0401746718393381,0.0444743532593859,0.0569945903511957,0.0747847517801686
"3","SR1","SR5","N",2.65096322369176,4.93680680866114,0.0410637516818303,0.0299429854724254,0.0426948909628904,0.0939441458018259
"4","SR2","SR5","N",2.73293447497694,4.93680680866114,0.0401746718393381,0.0299429854724254,0.0275418817395683,0.0826972192851396
"5","SR1","SR4","Cd",1.26124267335266,1.90192424645956,0.0148623655920959,0.0199832225243987,0.0173607999674065,0.00653559306671901
"6","SR2","SR4","Cd",1.46499268930478,1.90192424645956,0.0200490960444728,0.0199832225243987,0.0233583272814001,0.0114300116360261
"7","SR1","SR5","Cd",1.26124267335266,2.29702364318087,0.0148623655920959,0.0448702650664803,0.00635722329618843,0.0511048527549764
"8","SR2","SR5","Cd",1.46499268930478,2.29702364318087,0.0200490960444728,0.0448702650664803,0.0183928668168236,0.00628763126274098
