"","Tu_Regime","Te_Regime","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4","N",3.22360625764203,8.81424100926015,0.0702196294695714,0.0954672764677307,0.0869466300144919,0.161728262359878
"2","SR2","SR4","N",2.93989394985152,8.81424100926015,0.0494072845573507,0.0954672764677307,0.0724524541505953,0.13092590897332
"3","SR1","SR5","N",3.22360625764203,7.54913663770328,0.0702196294695714,0.107639268550045,0.0758380950865199,0.144282903565967
"4","SR2","SR5","N",2.93989394985152,7.54913663770328,0.0494072845573507,0.107639268550045,0.0441613882211339,0.139785574717773
"5","SR1","SR4","Cd",1.25982666795765,2.09106430362359,0.0126404667806032,0.0319819750827967,0.0191803100963841,0.022878446772917
"6","SR2","SR4","Cd",1.47429684793786,2.09106430362359,0.0189573356155613,0.0319819750827967,0.0268336959866135,0.0262902655415411
"7","SR1","SR5","Cd",1.25982666795765,2.43502823586985,0.0126404667806032,0.0521656689207698,0.00791276413875181,0.0647393455009286
"8","SR2","SR5","Cd",1.47429684793786,2.43502823586985,0.0189573356155613,0.0521656689207698,0.0216329451754649,0.0206221586248113
