"","Tu_Regime","Te_Regime","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4","N",2.88249320215058,7.54085471987003,0.049568536992848,0.0634782136468676,0.0600622045546306,0.123601904302904
"2","SR2","SR4","N",2.61829140924834,7.54085471987003,0.0274795202903264,0.0634782136468676,0.0447421446470821,0.0889587231839738
"3","SR1","SR5","N",2.88249320215058,6.55457718144939,0.049568536992848,0.080512945449564,0.0515419633852463,0.108908367324694
"4","SR2","SR5","N",2.61829140924834,6.55457718144939,0.0274795202903264,0.080512945449564,0.0163577224525956,0.103114046305865
"5","SR1","SR4","Cd",1.1900437089522,1.89536736628158,0.00345223308264066,0.0151587551262609,0.00663279214586828,-0.00396502360105822
"6","SR2","SR4","Cd",1.36545584023629,1.89536736628158,0.00618234428116891,0.0151587551262609,0.0083886381846864,-0.0022613047044645
"7","SR1","SR5","Cd",1.1900437089522,2.18074260310838,0.00345223308264066,0.0331373622132123,-0.0061271319436552,0.0396398450960088
"8","SR2","SR5","Cd",1.36545584023629,2.18074260310838,0.00618234428116891,0.0331373622132123,0.000445562414836731,-0.00685700690021248
