"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"Cd",1.31518265081449,2.47317167599079,0.0132871308254671,0.050403537627921,0.0325921031535936,0.020671624988178
"2","SR2","SR4",1,"Cd",1.52145358437981,2.47317167599079,0.0367339964658026,0.050403537627921,0.0210572865879346,0.0447283706942267
"3","SR1","SR5",1,"Cd",1.31518265081449,2.93591330366473,0.0132871308254671,0.0673948670165974,0.0233894305618443,0.0596182412675514
"4","SR2","SR5",1,"Cd",1.52145358437981,2.93591330366473,0.0367339964658026,0.0673948670165974,0.0279069358132433,0.040027160058995
"5","SR1","SR4",2,"Cd",1.10413475673831,1.31934404695239,0.00120271522234407,-0.0147434423645538,-0.00299215114329042,-0.0449321385914663
"7","SR1","SR5",2,"Cd",1.10413475673831,1.98309324660773,0.00120271522234407,0.0393021838164913,0.000198136514491834,0.0747095646770142
"9","SR1","SR4",3,"Cd",1.12624682096635,2.21070419245509,0.00295382278770183,0.021424652350659,-0.0099221812586581,0.0688588750664888
"10","SR2","SR4",3,"Cd",1.36673997869509,2.21070419245509,0.00995252780875577,0.021424652350659,0.020121135954991,-0.012717305888871
"11","SR1","SR5",3,"Cd",1.12624682096635,1.92773610457787,0.00295382278770183,0.0268564344133842,-0.0102405669027107,0.0544451575895292
"12","SR2","SR5",3,"Cd",1.36673997869509,1.92773610457787,0.00995252780875577,0.0268564344133842,0.0177303115270829,0.00424536405886675
"13","SR1","SR4",4,"Cd",1.24310268256993,1.88900539563734,0.00644464899941042,0.00708755196255896,0.0117490604592687,-0.0334639131888978
"14","SR2","SR4",4,"Cd",1.21823073199908,1.88900539563734,0.00105692146478939,0.00708755196255896,-0.00403199576250523,0.0330939565104945
"15","SR1","SR5",4,"Cd",1.24310268256993,2.52603613884729,0.00644464899941042,0.0458339790759804,0.0191527827458559,0.0735793734821602
"16","SR2","SR5",4,"Cd",1.21823073199908,2.52603613884729,0.00105692146478939,0.0458339790759804,-0.0207897483039803,0.0116722467630983
"17","SR1","SR4",5,"Cd",1.34748814016202,1.90352498412508,0.0142430527879406,0.0344643934850396,0.0319788629594833,0.00561220022737265
"18","SR2","SR4",5,"Cd",1.61608260185857,1.90352498412508,0.00294009440998762,0.0344643934850396,0.0362017025916167,0.0186517184006302
"19","SR1","SR5",5,"Cd",1.34748814016202,2.52475922688618,0.0142430527879406,0.0478538897067063,-0.0286003660024927,0.0205593768833893
"20","SR2","SR5",5,"Cd",1.61608260185857,2.52475922688618,0.00294009440998762,0.0478538897067063,0.0223605789019327,0.0085017720387702
