"","Tu_Regime","Te_Regime","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4","N",3.0530497298963,8.17754786456509,0.0598940832312097,0.0794727450572991,0.0735044172845612,0.142665083331391
"2","SR2","SR4","N",2.77909267954993,8.17754786456509,0.0384434024238385,0.0794727450572991,0.0585972993988387,0.109942316078647
"3","SR1","SR5","N",3.0530497298963,7.05185690957634,0.0598940832312097,0.0940761069998046,0.0636900292358831,0.12659563544533
"4","SR2","SR5","N",2.77909267954993,7.05185690957634,0.0384434024238385,0.0940761069998046,0.0302595553368648,0.121449810511819
"5","SR1","SR4","Cd",1.22531168245303,2.00121973694614,0.00802050249029201,0.0252259685033614,0.0129874852081819,0.00859466635783815
"6","SR2","SR4","Cd",1.41879183034309,2.00121973694614,0.0125086142304798,0.0252259685033614,0.0180256706144055,0.0138864160222056
"7","SR1","SR5","Cd",1.22531168245303,2.3070441526856,0.00802050249029201,0.0424841736000676,0.000896286850040721,0.0520842482156045
"8","SR2","SR5","Cd",1.41879183034309,2.3070441526856,0.0125086142304798,0.0424841736000676,0.0112042474797958,0.00681822485509836
