"","species","lambda","lower_error","upper error","sigma","convergence_code"
"1",1,1.1,0.480193578606998,1.719806421393,0.316227766016838,0
"2",1,1.1,0.480193578606998,1.719806421393,0.316227766016838,0
"3",2,1.11111111111111,0.457777777777778,1.76444444444444,0.333333333333333,0
"4",2,1.11111111111111,0.457777777777778,1.76444444444444,0.333333333333333,0
"5",4,2.7,-0.76328296402256,6.16328296402256,1.76698110409314,0
"6",4,2.7,-0.76328296402256,6.16328296402256,1.76698110409314,0
"7",5,2.2,-1.35451762628286,5.75451762628286,1.81352940116473,0
"8",5,2.2,-1.35451762628286,5.75451762628286,1.81352940116473,0
