Block,Rep,Box,Leaf,Disk,Env,FocalSR,CompSR,Dens,Type,Focalfemale,FocalDead,FocalDrowned,FocalMissing,NumbDeadComp,NumberOfEggs,NumberOfEggsBelow,TeMales,TeFemales,TeQuiescentfemales,TuMales,TuFemales,TuQuiescentfemales,Observations
1,1,2,4,4,Cd,5,NA,1,INTRA,Te,0,0,0,0,25,0,2,17,1,NA,NA,NA,NA
1,1,2,3,5,N,5,NA,2,INTRA,Te,0,0,0,0,42,0,3,13,2,NA,NA,NA,NA
1,1,2,4,6,N,5,NA,2,INTRA,Te,1,0,0,0,48,0,2,14,0,NA,NA,NA,NA
1,1,2,3,7,Cd,5,NA,2,INTRA,Te,2,0,0,0,9,0,1,4,1,NA,NA,NA,NA
1,1,2,4,8,Cd,5,NA,2,INTRA,Te,1,0,0,0,21,0,8,4,0,NA,NA,NA,NA
1,1,2,3,9,N,5,NA,4,INTRA,Te,0,0,0,0,47,0,4,21,1,NA,NA,NA,NA
1,1,2,4,10,N,5,NA,4,INTRA,Te,0,0,0,0,65,0,11,39,0,NA,NA,NA,NA
1,1,2,3,11,Cd,5,NA,4,INTRA,Te,2,0,0,0,14,0,2,2,0,NA,NA,NA,NA
1,1,2,4,12,Cd,5,NA,4,INTRA,Te,1,0,0,0,7,0,0,2,0,NA,NA,NA,NA
1,1,2,3,13,N,5,NA,10,INTRA,Te,0,0,0,0,84,0,1,0,0,NA,NA,NA,In relation with column TeQuiescentfemales: all indiv juv/dead
1,1,2,4,14,N,5,NA,10,INTRA,Te,0,0,0,0,154,0,1,6,0,NA,NA,NA,In relation with column TeQuiescentfemales: all indiv juv/dead
1,1,2,3,15,Cd,5,NA,10,INTRA,Te,1,0,0,0,43,0,0,4,1,NA,NA,NA,NA
1,1,2,4,16,Cd,5,NA,10,INTRA,Te,0,0,0,0,72,0,0,0,0,NA,NA,NA,In relation with column TeQuiescentfemales: all indiv juv/dead
1,1,1,3,1,N,5,1,2,INTER,Te,0,0,0,0,41,0,1,8,2,0,7,3,NA
1,1,1,4,2,N,5,1,2,INTER,Te,0,0,0,0,29,0,3,9,0,5,6,1,NA
1,1,1,3,3,Cd,5,1,2,INTER,Te,0,0,0,0,19,0,5,4,1,2,1,1,NA
1,1,1,4,4,Cd,5,1,2,INTER,Te,0,0,0,0,9,0,1,5,0,1,0,0,NA
1,1,1,3,5,N,5,1,4,INTER,Te,0,0,0,0,62,0,2,2,3,8,4,1,NA
1,1,1,4,6,N,5,1,4,INTER,Te,1,0,0,1,27,0,0,0,0,5,5,0,NA
1,1,1,3,7,Cd,5,1,4,INTER,Te,0,0,0,2,6,0,0,0,0,0,1,0,NA
1,1,1,4,8,Cd,5,1,4,INTER,Te,0,0,0,0,25,0,1,3,1,1,1,0,NA
1,1,1,3,9,N,5,1,10,INTER,Te,0,0,0,4,96,0,0,0,0,0,0,0,all juv
1,1,1,4,10,N,5,1,10,INTER,Te,0,0,0,0,140,0,0,0,0,0,0,0,all juv
1,1,1,3,11,Cd,5,1,10,INTER,Te,0,0,0,5,15,0,0,0,1,0,0,0,NA
1,1,1,4,12,Cd,5,1,10,INTER,Te,0,0,0,6,20,0,0,0,0,0,1,0,NA
1,1,2,3,1,N,5,1,2,INTER,Te,0,0,0,0,31,0,0,0,0,0,0,0,all juv
1,1,2,4,2,N,5,1,2,INTER,Te,0,0,0,0,36,0,0,2,0,2,2,1,NA
1,1,2,3,3,Cd,5,1,2,INTER,Te,0,0,0,0,30,0,0,3,0,1,0,2,NA
1,1,2,4,4,Cd,5,1,2,INTER,Te,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In relation with column NumberOfEggs: Predator transparent
1,1,2,3,5,N,5,1,4,INTER,Te,0,0,0,2,74,0,0,4,4,0,2,4,NA
1,1,2,4,6,N,5,1,4,INTER,Te,1,0,0,0,43,0,0,0,0,7,12,0,NA
1,1,2,3,7,Cd,5,1,4,INTER,Te,1,0,0,3,11,0,0,4,1,0,0,0,NA
1,1,2,4,8,Cd,5,1,4,INTER,Te,0,0,0,0,12,0,0,4,2,0,0,0,NA
1,1,2,3,9,N,5,1,10,INTER,Te,0,0,0,2,86,0,2,3,0,3,9,2,NA
1,1,2,4,10,N,5,1,10,INTER,Te,0,0,0,2,115,0,2,11,0,11,10,5,NA
1,1,2,3,11,Cd,5,1,10,INTER,Te,0,0,0,3,18,0,0,0,0,0,0,0,NA
1,1,2,4,12,Cd,5,1,10,INTER,Te,0,0,0,4,12,0,0,0,0,0,0,0,NA
1,1,1,3,1,N,5,2,2,INTER,Te,0,0,0,0,20,0,1,3,1,3,2,2,NA
1,1,1,4,2,N,5,2,2,INTER,Te,0,0,0,0,13,0,3,9,0,4,5,0,NA
1,1,1,3,3,Cd,5,2,2,INTER,Te,0,0,0,0,13,0,2,0,0,0,0,0,NA
1,1,1,4,4,Cd,5,2,2,INTER,Te,0,0,0,1,22,0,1,3,0,0,0,0,NA
1,1,1,3,5,N,5,2,4,INTER,Te,0,0,0,1,41,0,3,8,1,13,6,3,NA
1,1,1,4,6,N,5,2,4,INTER,Te,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prod mite
1,1,1,3,7,Cd,5,2,4,INTER,Te,1,0,0,0,14,0,2,7,5,0,1,2,NA
1,1,1,4,8,Cd,5,2,4,INTER,Te,0,0,0,2,50,0,0,4,0,3,2,1,NA
1,1,1,3,9,N,5,2,10,INTER,Te,0,0,0,0,116,0,0,0,0,0,2,0,all juv
1,1,1,4,10,N,5,2,10,INTER,Te,0,0,0,0,113,0,0,0,1,3,6,3,patch full of fung
1,1,1,3,11,Cd,5,2,10,INTER,Te,0,0,0,4,18,0,0,1,0,0,0,0,NA
1,1,1,4,12,Cd,5,2,10,INTER,Te,0,0,0,2,47,0,0,0,1,0,0,0,NA
1,1,2,3,1,N,5,2,2,INTER,Te,0,0,0,0,22,0,0,0,0,1,2,0,NA
1,1,2,4,2,N,5,2,2,INTER,Te,0,0,0,0,46,0,4,2,1,0,0,0,NA
1,1,2,3,3,Cd,5,2,2,INTER,Te,0,0,0,0,21,0,0,0,1,0,0,0,NA
1,1,2,4,4,Cd,5,2,2,INTER,Te,0,0,0,0,12,0,0,3,0,0,0,0,NA
1,1,2,3,5,N,5,2,4,INTER,Te,0,0,0,0,49,0,0,2,2,1,2,4,NA
1,1,2,4,6,N,5,2,4,INTER,Te,0,0,0,0,85,0,2,8,2,0,7,6,NA
1,1,2,3,7,Cd,5,2,4,INTER,Te,0,0,0,2,28,0,1,7,0,0,0,0,NA
1,1,2,4,8,Cd,5,2,4,INTER,Te,0,0,0,1,36,0,3,3,0,4,3,0,NA
1,1,2,3,9,N,5,2,10,INTER,Te,0,0,0,2,55,0,0,0,1,0,0,0,all juv
1,1,2,4,10,N,5,2,10,INTER,Te,0,0,0,0,83,0,4,13,0,6,9,3,NA
1,1,2,3,11,Cd,5,2,10,INTER,Te,0,0,0,3,25,0,0,0,0,0,0,0,NA
1,1,2,4,12,Cd,5,2,10,INTER,Te,0,0,0,2,47,0,1,2,0,4,4,2,NA
1,1,1,3,1,N,4,2,2,INTER,Te,0,0,0,0,26,0,0,1,0,0,2,0,NA
1,1,1,4,2,N,4,2,2,INTER,Te,0,0,0,0,40,0,2,3,1,1,0,0,NA
1,1,1,3,3,Cd,4,2,2,INTER,Te,0,0,0,1,12,0,0,0,0,0,0,0,NA
1,1,1,4,4,Cd,4,2,2,INTER,Te,0,0,0,1,13,0,0,0,0,0,0,0,NA
1,1,1,3,5,N,4,2,4,INTER,Te,0,0,0,0,33,0,4,8,0,0,1,0,NA
1,1,1,4,6,N,4,2,4,INTER,Te,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Predator transparent
1,1,1,3,7,Cd,4,2,4,INTER,Te,1,0,0,1,17,0,4,5,1,1,0,0,NA
1,1,1,4,8,Cd,4,2,4,INTER,Te,0,0,0,1,8,0,0,0,0,0,0,0,NA
1,1,1,3,9,N,4,2,10,INTER,Te,0,0,0,4,95,0,1,2,0,0,0,3,lots of dead juv
1,1,1,4,10,N,4,2,10,INTER,Te,0,0,0,0,120,0,2,9,2,4,10,6,NA
1,1,1,3,11,Cd,4,2,10,INTER,Te,0,0,0,3,12,0,0,0,0,0,0,0,NA
1,1,1,4,12,Cd,4,2,10,INTER,Te,0,0,0,3,34,0,0,0,0,0,6,1,NA
1,1,2,3,1,N,4,2,2,INTER,Te,0,0,0,0,26,0,3,16,0,0,0,0,NA
1,1,2,4,2,N,4,2,2,INTER,Te,0,0,0,0,7,0,0,0,0,1,3,0,NA
1,1,2,3,3,Cd,4,2,2,INTER,Te,0,0,0,0,20,0,1,2,2,0,1,1,NA
1,1,2,4,4,Cd,4,2,2,INTER,Te,0,0,0,0,19,0,2,1,0,1,1,1,NA
1,1,2,3,5,N,4,2,4,INTER,Te,0,0,0,2,51,0,3,17,3,0,4,0,NA
1,1,2,4,6,N,4,2,4,INTER,Te,0,0,0,0,50,0,2,25,0,0,1,3,NA
1,1,2,3,7,Cd,4,2,4,INTER,Te,0,0,0,0,13,0,1,3,0,0,5,0,NA
1,1,2,4,8,Cd,4,2,4,INTER,Te,0,0,0,2,10,0,0,0,0,0,0,0,NA
1,1,2,3,9,N,4,2,10,INTER,Te,0,0,0,0,107,0,0,0,0,0,0,0,NA
1,1,2,4,10,N,4,2,10,INTER,Te,0,0,0,1,113,0,0,0,0,0,0,0,NA
1,1,2,3,11,Cd,4,2,10,INTER,Te,0,0,0,5,16,0,0,0,0,0,0,0,NA
1,1,2,4,12,Cd,4,2,10,INTER,Te,0,0,0,4,22,0,0,0,0,0,0,0,NA
1,1,1,3,1,N,4,1,2,INTER,Te,0,0,0,0,13,0,1,4,0,1,7,1,NA
1,1,1,4,2,N,4,1,2,INTER,Te,0,0,0,1,15,0,5,10,0,0,0,0,NA
1,1,1,3,3,Cd,4,1,2,INTER,Te,0,0,0,0,26,0,1,4,0,0,7,1,NA
1,1,1,4,4,Cd,4,1,2,INTER,Te,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Focals!
1,1,1,3,5,N,4,1,4,INTER,Te,0,0,0,0,55,0,1,2,1,1,7,7,NA
1,1,1,4,6,N,4,1,4,INTER,Te,0,0,0,0,72,0,5,0,3,6,12,2,NA
1,1,1,3,7,Cd,4,1,4,INTER,Te,0,0,0,2,6,0,0,0,0,0,0,0,NA
1,1,1,4,8,Cd,4,1,4,INTER,Te,0,0,0,1,29,0,0,2,0,0,1,0,NA
1,1,1,3,9,N,4,1,10,INTER,Te,0,0,0,0,152,0,0,2,0,1,3,5,Lots of juv
1,1,1,4,10,N,4,1,10,INTER,Te,0,0,0,1,154,0,3,0,0,6,20,2,NA
1,1,1,3,11,Cd,4,1,10,INTER,Te,0,0,0,3,15,0,0,0,0,0,0,0,NA
1,1,1,4,12,Cd,4,1,10,INTER,Te,0,0,0,1,34,0,2,0,4,0,1,2,NA
1,1,2,3,1,N,4,1,2,INTER,Te,0,0,0,0,31,0,1,2,0,4,1,0,NA
1,1,2,4,2,N,4,1,2,INTER,Te,0,0,0,0,30,0,6,6,1,2,5,2,NA
1,1,2,3,3,Cd,4,1,2,INTER,Te,0,0,0,0,28,0,4,11,4,0,0,0,NA
1,1,2,4,4,Cd,4,1,2,INTER,Te,0,0,0,0,15,0,0,0,0,1,10,2,NA
1,1,2,3,5,N,4,1,4,INTER,Te,0,0,0,1,40,0,0,0,0,4,3,4,NA
1,1,2,4,6,N,4,1,4,INTER,Te,0,0,0,1,28,0,5,6,0,6,0,0,NA
1,1,2,3,7,Cd,4,1,4,INTER,Te,0,0,0,1,17,0,1,1,4,0,0,0,NA
1,1,2,4,8,Cd,4,1,4,INTER,Te,0,0,0,1,29,0,4,13,0,2,2,0,NA
1,1,2,3,9,N,4,1,10,INTER,Te,0,0,0,0,55,0,0,0,0,2,11,2,NA
1,1,2,4,10,N,4,1,10,INTER,Te,0,0,0,0,107,0,1,0,0,5,2,1,NA
1,1,2,3,11,Cd,4,1,10,INTER,Te,1,0,0,7,18,0,0,0,0,0,0,0,NA
1,1,2,4,12,Cd,4,1,10,INTER,Te,0,0,0,3,30,0,0,0,0,0,0,0,NA
1,1,1,3,1,N,1,NA,1,INTRA,Tu,0,1,0,0,6,0,NA,NA,NA,1,3,0,NA
1,1,1,4,2,N,1,NA,1,INTRA,Tu,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA
1,1,1,3,3,Cd,1,NA,1,INTRA,Tu,0,0,0,0,2,0,NA,NA,NA,0,0,0,NA
1,1,1,4,4,Cd,1,NA,1,INTRA,Tu,0,0,0,0,3,0,NA,NA,NA,1,1,0,NA
1,1,1,3,5,N,1,NA,2,INTRA,Tu,0,0,0,0,20,0,NA,NA,NA,3,4,3,NA
1,1,1,4,6,N,1,NA,2,INTRA,Tu,0,0,0,0,26,0,NA,NA,NA,9,10,2,NA
1,1,1,3,7,Cd,1,NA,2,INTRA,Tu,0,0,0,0,9,0,NA,NA,NA,0,3,1,NA
1,1,1,4,8,Cd,1,NA,2,INTRA,Tu,0,0,0,0,8,0,NA,NA,NA,2,3,2,NA
1,1,1,3,9,N,1,NA,4,INTRA,Tu,0,0,0,0,34,0,NA,NA,NA,0,0,1,Loads of 
1,1,1,4,10,N,1,NA,4,INTRA,Tu,0,0,0,0,88,0,NA,NA,NA,13,15,7,NA
1,1,1,3,11,Cd,1,NA,4,INTRA,Tu,0,2,0,0,9,0,NA,NA,NA,0,0,0,NA
1,1,1,4,12,Cd,1,NA,4,INTRA,Tu,1,0,0,0,8,0,NA,NA,NA,0,0,0,NA
1,1,1,3,13,N,1,NA,10,INTRA,Tu,1,0,1,0,83,0,NA,NA,NA,0,0,1,loads of dead juvn
1,1,1,4,14,N,1,NA,10,INTRA,Tu,0,0,0,0,162,0,NA,NA,NA,7,11,10,NA
1,1,1,3,15,Cd,1,NA,10,INTRA,Tu,0,0,2,0,16,0,NA,NA,NA,0,0,0,NA
1,1,1,4,16,Cd,1,NA,10,INTRA,Tu,0,1,0,0,63,0,NA,NA,NA,9,11,4,NA
1,1,2,3,1,N,1,NA,1,INTRA,Tu,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA
1,1,2,4,2,N,1,NA,1,INTRA,Tu,0,0,0,0,21,0,NA,NA,NA,6,4,1,NA
1,1,2,3,3,Cd,1,NA,1,INTRA,Tu,0,0,0,0,2,0,NA,NA,NA,1,1,0,NA
1,1,2,4,4,Cd,1,NA,1,INTRA,Tu,0,0,0,0,8,0,NA,NA,NA,3,1,4,NA
1,1,2,3,5,N,1,NA,2,INTRA,Tu,0,1,0,0,17,0,NA,NA,NA,1,1,1,NA
1,1,2,4,6,N,1,NA,2,INTRA,Tu,0,0,0,0,12,0,NA,NA,NA,9,0,0,NA
1,1,2,3,7,Cd,1,NA,2,INTRA,Tu,1,0,0,0,12,0,NA,NA,NA,2,0,2,NA
1,1,2,4,8,Cd,1,NA,2,INTRA,Tu,0,0,0,0,8,0,NA,NA,NA,2,4,2,NA
1,1,2,3,9,N,1,NA,4,INTRA,Tu,0,0,0,0,53,0,NA,NA,NA,3,4,3,NA
1,1,2,4,10,N,1,NA,4,INTRA,Tu,0,0,0,0,78,0,NA,NA,NA,2,4,5,NA
