"","intra","inter1","inter2"
"1",0.0278601834963376,0.0429721958831502,0.0337012633862098
"2",0.0297323888230132,0.00937544008055534,0.0160555539510555
"4",0.0778456660826838,0.036898177211255,0.0606001557389267
"5",0.0499484544215403,0.0307868889442415,0.00978389619527067
